### Footprint positions - created on 2026-01-19T08:33:37-0800 ###
### Printed by KiCad version 9.0.7
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val            Package                                                        PosX       PosY       Rot  Side
C151      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    2.6181    -4.9213    0.0000  top
C152      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    3.0906    -4.9213    0.0000  top
C153      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    3.5630    -4.9213    0.0000  top
C154      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    4.0354    -4.9213    0.0000  top
C155      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    4.5079    -4.9213    0.0000  top
C156      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    4.9803    -4.9213    0.0000  top
C157      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    5.4528    -4.9213    0.0000  top
C158      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    5.9252    -4.9213    0.0000  top
C159      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    6.3976    -4.9213    0.0000  top
C160      12F_2.7V       CP_Radial_D10.0mm_P5.00mm                                    6.8701    -4.9213    0.0000  top
D1        SMBJ18A        D_SMB                                                        9.2717    -2.8346   90.0000  top
D2        SMBJ18A        D_SMB                                                        9.2717    -3.4252   90.0000  top
D3        SMBJ18A        D_SMB                                                        9.2717    -4.0157   90.0000  top
D4        SMBJ18A        D_SMB                                                        9.2717    -4.6063   90.0000  top
D5        MB6S           TO-269AA                                                     7.4213    -2.2441    0.0000  top
D6        1N4007         D_SMA                                                        7.3819    -5.2362    0.0000  top
D7        1N4007         D_SMA                                                        7.7756    -5.2362    0.0000  top
D8        Green          LED_0805_2012Metric                                          7.6181    -2.4409    0.0000  top
J1        AC_IN          TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal     2.1457    -2.3622    0.0000  top
J2        AC_OUT         TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal     2.1457    -3.8189    0.0000  top
J3        SWD            PinHeader_1x05_P2.54mm_Vertical                              2.1457    -5.6299    0.0000  top
Q1        IRFB4110       TO-220-3_Vertical                                            9.5079    -3.0709  -90.0000  top
Q2        IRFB4110       TO-220-3_Vertical                                            9.5079    -3.6614  -90.0000  top
Q3        IRFB4110       TO-220-3_Vertical                                            9.5079    -4.2520  -90.0000  top
Q4        IRFB4110       TO-220-3_Vertical                                            9.5079    -4.8425  -90.0000  top
Q5        AO3400         SOT-23                                                       7.6181    -5.5118    0.0000  top
Q6        AO3400         SOT-23                                                       8.0118    -5.5118    0.0000  top
Q7        2N7002         SOT-23                                                       8.4055    -5.5118    0.0000  top
Q8        2N7002         SOT-23                                                       8.7992    -5.5118    0.0000  top
R1        47k            R_0805_2012Metric                                            8.6811    -3.5433   90.0000  top
R2        47k            R_0805_2012Metric                                            7.3425    -4.1732    0.0000  top
R3        10k            R_0805_2012Metric                                            7.3425    -4.4882    0.0000  top
R4        1M             R_0805_2012Metric                                            8.1299    -4.3307   90.0000  top
R5        10k            R_0805_2012Metric                                            8.0906    -5.3150    0.0000  top
R6        820k           R_0805_2012Metric                                            7.4213    -4.6063    0.0000  top
R7        10k            R_0805_2012Metric                                            7.4213    -5.0000   90.0000  top
R8        820k           R_0805_2012Metric                                            9.1142    -3.0709    0.0000  top
R9        10k            R_0805_2012Metric                                            9.1142    -3.6614    0.0000  top
R10       10R            R_0805_2012Metric                                            9.1142    -4.2520    0.0000  top
R11       10R            R_0805_2012Metric                                            7.6181    -5.7874    0.0000  top
R12       10R            R_0805_2012Metric                                            8.0118    -5.7874    0.0000  top
R13       10R            R_0805_2012Metric                                            8.4055    -5.7874    0.0000  top
R14       10k            R_0805_2012Metric                                            8.2874    -2.9921    0.0000  top
R15       10k            R_0805_2012Metric                                            8.2874    -5.1181    0.0000  top
R16       100R_5W        R_2512_6332Metric                                            7.2244    -6.0630    0.0000  top
R17       100R_5W        R_2512_6332Metric                                            7.7756    -6.0630    0.0000  top
R18       10k            R_0805_2012Metric                                            7.5787    -3.4646    0.0000  top
R19       3.3k           R_0805_2012Metric                                            7.5787    -4.0157    0.0000  top
R20       1k             R_0805_2012Metric                                            8.0512    -4.7638    0.0000  top
R21       10k            R_0805_2012Metric                                            8.2087    -4.1339    0.0000  top
R22       10k            R_0805_2012Metric                                            8.2087    -4.5276    0.0000  top
R23       220R_2W        R_2512_6332Metric                                            8.3268    -6.0630    0.0000  top
R24       220R_2W        R_2512_6332Metric                                            8.8780    -6.0630    0.0000  top
R25       330R           R_0805_2012Metric                                            7.3031    -2.4409    0.0000  top
RV1       275VAC         RV_Disc_D12mm_W4.2mm_P7.5mm                                  2.1457    -3.1496   90.0000  top
R_GB1     10k            R_0805_2012Metric                                            9.0354    -2.8740   90.0000  top
R_GB2     10k            R_0805_2012Metric                                            9.0354    -3.4646   90.0000  top
R_GB3     10k            R_0805_2012Metric                                            9.0354    -4.0551   90.0000  top
R_GB4     10k            R_0805_2012Metric                                            9.0354    -4.6457   90.0000  top
R_SHUNT   5mR            R_2512_6332Metric                                            7.6181    -5.0000    0.0000  top
U1        STM32G031F6P6  TSSOP-20_4.4x6.5mm_P0.65mm                                   8.2087    -3.7402    0.0000  top
U2        UCC27511A      SOT-23-5                                                     8.9173    -3.3071    0.0000  top
U3        UCC27511A      SOT-23-5                                                     8.9173    -3.7402    0.0000  top
U4        INA180A3       SOT-23-5                                                     8.4055    -5.0000    0.0000  top
U5        LMV331         SOT-23-5                                                     7.7362    -4.7638    0.0000  top
U6        H11AA1         DIP-6_W7.62mm                                                7.7362    -4.3307    0.0000  top
U7        LM7812         TO-220-3_Vertical                                            8.4055    -2.2441    0.0000  top
U8        AMS1117-3.3    SOT-223-3_TabPin2                                            7.8150    -3.1102    0.0000  top
U9        UCC27511A      SOT-23-5                                                     8.9173    -4.1732    0.0000  top
U10       UCC27511A      SOT-23-5                                                     8.9173    -4.6063    0.0000  top
## End
